Date/Time,LV ActivePower (kW),Wind Speed (m/s),Theoretical_Power_Curve (KWh),Wind Direction (°)
03 01 2018 05:10,953.9760132,7.001252174,1016.552582,178.0930023
03 01 2018 05:20,799.0856934,6.758135796,910.7282546,174.0330048
03 01 2018 05:30,616.2548218,6.179992199,686.4114027,167.9960022
03 01 2018 05:40,646.9244995,6.301719189,730.5901706,168.8119965
03 01 2018 05:50,1323.682007,7.517776966,1267.134969,184.7017975
03 01 2018 06:00,1568.885986,8.094202995,1584.395551,194.0092926
03 01 2018 06:10,1580.902954,7.854953766,1448.061049,197.8014984
03 01 2018 06:20,1495.180054,7.719468117,1373.675076,191.2086945
03 01 2018 06:30,2063.868896,8.847901344,2046.438946,195.0639038
03 01 2018 06:40,2368.76001,9.631019592,2540.491731,198.074707
03 01 2018 06:50,2516.419922,9.767664909,2638.971731,191.838501
03 01 2018 07:00,2108.770996,9.185004234,2263.873095,190.0070038
03 01 2018 07:10,2568.111084,9.927650452,2746.29034,179.3226929
03 01 2018 07:20,3445.219971,12.03275967,3526.952507,175.9355011
03 01 2018 07:30,2994.106934,10.87308979,3225.769174,180.7583008
03 01 2018 07:40,2594.937012,10.38061047,3006.931915,177.4212036
03 01 2018 07:50,2326.825928,10.34302044,2987.588083,164.6313934
03 01 2018 08:00,1941.463989,9.283791542,2328.307526,157.3659973
03 01 2018 08:10,1581.487061,8.263951302,1684.577838,151.1777039
03 01 2018 08:20,1013.286987,7.161077023,1090.179344,144.4230042
03 01 2018 08:30,375.6176147,5.502151966,469.6191644,145.3318024
03 01 2018 08:40,198.1511993,4.645584106,253.4672425,155.7653046
03 01 2018 08:50,87.44045258,3.847867012,100.642022,162.271698
03 01 2018 09:00,189.1378021,4.553710938,233.4558636,148.0536041
03 01 2018 09:10,434.4317932,5.735952854,539.5070619,136.6712036
03 01 2018 09:20,336.5007935,5.057969093,350.3694191,139.4640045
03 01 2018 09:30,296.6101074,4.922440052,317.1718028,141.7938995
03 01 2018 09:40,92.9240036,3.821350098,96.25248176,148.5747986
03 01 2018 09:50,85.70230103,3.580841064,61.57702143,165.8957062
03 01 2018 10:00,309.5114136,4.716145039,269.2057367,187.6051941
03 01 2018 10:10,381.1726074,5.080855846,356.114453,188.4362946
03 01 2018 10:20,417.2662964,5.343267918,425.0226087,202.2389984
03 01 2018 10:30,446.343811,5.452712059,455.4989836,201.0330963
03 01 2018 10:40,206.6020966,4.29698801,180.2207304,191.4851074
03 01 2018 10:50,251.3757019,4.736260891,273.7530825,183.4333954
03 01 2018 11:00,275.0136108,4.780562878,283.8646662,187.9405975
03 01 2018 11:10,314.2744141,4.894141197,310.4131199,180.8480072
03 01 2018 11:20,238.7823029,4.487487793,219.355975,185.8578033
03 01 2018 11:30,409.0264893,5.314783096,417.2631565,180.8168945
03 01 2018 11:40,506.4703064,5.711400986,531.9193571,186.1788025
03 01 2018 11:50,427.9566956,5.374886036,433.7182755,196.3742065
03 01 2018 12:00,952.2675781,6.895505905,969.6346499,193.9367065
03 01 2018 12:10,1019.905029,7.240921021,1128.237686,187.7236023
03 01 2018 12:20,1015.357971,6.709988117,890.6123118,185.273407
03 01 2018 12:30,979.7229004,6.851963043,950.7168123,183.7971039
03 01 2018 12:40,379.4078979,5.078312874,355.4740901,185.1383972
03 01 2018 12:50,841.5977783,6.521288872,814.34348,189.263504
03 01 2018 13:00,672.6187744,6.171179771,683.2747912,189.2765045
03 01 2018 13:10,452.0786133,5.449243069,454.5165791,190.636795
03 01 2018 13:20,558.9979248,5.851128101,575.9105762,196.9326935
03 01 2018 13:30,331.7192993,5.094088078,359.454764,193.4658051
03 01 2018 13:40,212.1006927,4.598594189,243.1654974,197.9337006
03 01 2018 13:50,79.72102356,3.629702091,67.87244481,199.7156067
03 01 2018 14:00,183.0128021,4.472650051,216.232972,205.3706055
03 01 2018 14:10,279.1960144,4.918616772,316.2552558,204.3323059
03 01 2018 14:20,460.2166138,5.625835896,505.9378767,209.3771057
03 01 2018 14:30,647.7111206,6.316774845,736.1652234,211.6537018
03 01 2018 14:40,685.0780029,6.237164974,706.9630418,212.0509033
03 01 2018 14:50,709.8339844,6.449378014,786.3313199,211.607605
03 01 2018 15:00,493.3555908,5.782717228,554.1258994,212.3511047
03 01 2018 15:10,366.0793152,5.346119881,425.803377,216.8318024
03 01 2018 15:20,183.0379028,4.379333019,196.8860292,220.0410004
03 01 2018 15:30,7.347679138,3.011370897,16.3742125,238.6905975
03 01 2018 15:40,0,3.743307114,83.98626485,245.0682068
03 01 2018 15:50,12.34420013,3.24625206,28.73127208,238.0765076
03 01 2018 16:00,-0.393067598,2.185888052,0,238.4102936
03 01 2018 16:10,0,2.142015934,0,234.7624054
03 01 2018 16:20,0,2.501405954,0,223.3088074
03 01 2018 16:30,0,2.668577909,0,226.0516968
03 01 2018 16:40,0,3.034003019,17.18059304,221.0865021
03 01 2018 16:50,0,3.197354078,25.43122108,232.6795959
03 01 2018 17:00,0,3.907810926,110.9796039,241.9730988
03 01 2018 17:10,65.98790741,3.801294088,93.00718811,221.5258942
