DateTime,WindSpeed,WindDirection,ActivePower_kW,PredictedPower_kW,Source
02 01 2018 10:50,15.368,3600.000,3601.846,3199.050,CSV
02 01 2018 11:00,15.862,3600.000,3601.870,3586.764,CSV
02 01 2018 11:10,14.921,3600.000,3591.655,3428.527,CSV
02 01 2018 11:20,13.609,3600.000,3579.025,3282.179,CSV
02 01 2018 11:30,14.464,3600.000,3598.131,3555.196,CSV
02 01 2018 11:40,12.688,3590.528,3525.333,3460.548,CSV
02 01 2018 11:50,13.557,3600.000,3560.700,3413.406,CSV
02 01 2018 12:00,13.323,3600.000,3537.676,3536.837,CSV
02 01 2018 12:10,12.607,3586.261,3491.291,3476.943,CSV
02 01 2018 12:20,12.315,3562.628,3530.766,3430.352,CSV
02 01 2018 12:30,10.380,3006.718,2915.839,2593.837,CSV
02 01 2018 12:40,9.117,2219.692,2178.659,1981.371,CSV
02 01 2018 12:50,9.253,2308.323,2244.412,1880.787,CSV
02 01 2018 13:00,9.072,2190.705,1278.895,1796.527,CSV
02 01 2018 13:10,10.345,2988.425,2832.934,1611.295,CSV
02 01 2018 13:20,11.103,3307.711,3205.973,2605.155,CSV
02 01 2018 13:30,11.069,3296.301,3149.285,2967.522,CSV
02 01 2018 13:40,11.326,3375.743,3273.656,3068.062,CSV
02 01 2018 13:50,11.015,3277.761,3114.099,2948.158,CSV
02 01 2018 14:00,10.907,3238.706,3111.060,2992.675,CSV
02 01 2018 14:10,11.769,3481.449,3361.012,3301.474,CSV
02 01 2018 14:20,11.875,3501.130,3421.420,3120.117,CSV
02 01 2018 14:30,12.169,3545.852,3520.149,3355.272,CSV
02 01 2018 14:40,12.821,3595.389,3589.427,2810.536,CSV
02 01 2018 14:50,12.572,3584.095,3495.116,3433.421,CSV
02 01 2018 15:00,11.399,3395.929,3298.762,2996.727,CSV
02 01 2018 15:10,10.545,3087.174,2894.441,2643.632,CSV
02 01 2018 15:20,12.309,3562.063,3486.629,3343.549,CSV
02 01 2018 15:30,12.168,3545.732,3455.247,3361.393,CSV
02 01 2018 15:40,12.287,3559.699,3556.786,3407.022,CSV
02 01 2018 15:50,12.013,3523.986,3375.582,3299.331,CSV
02 01 2018 16:00,12.214,3551.319,3493.979,3332.726,CSV
02 01 2018 16:10,12.938,3597.575,3549.148,3508.797,CSV
02 01 2018 16:20,13.669,3600.000,3483.316,3495.135,CSV
02 01 2018 16:30,13.698,3600.000,3589.859,3537.611,CSV
02 01 2018 16:40,12.758,3593.421,3584.235,3481.351,CSV
02 01 2018 16:50,12.765,3593.664,3599.008,3510.490,CSV
02 01 2018 17:00,13.077,3600.000,3602.638,3515.107,CSV
02 01 2018 17:10,12.593,3585.451,3550.564,3424.663,CSV
02 01 2018 17:20,12.514,3580.140,3552.783,3200.391,CSV
02 01 2018 17:30,12.534,3581.613,3585.011,3253.170,CSV
02 01 2018 17:40,11.964,3516.310,3421.176,3306.113,CSV
02 01 2018 17:50,11.946,3513.264,3406.040,3326.068,CSV
02 01 2018 18:00,12.207,3550.542,3515.610,3345.204,CSV
02 01 2018 18:10,12.275,3558.399,3515.965,3269.902,CSV
02 01 2018 18:20,12.723,3592.036,3475.419,3390.894,CSV
02 01 2018 18:30,12.265,3557.316,3471.157,2597.986,CSV
02 01 2018 18:40,11.704,3468.160,3281.755,3298.865,CSV
02 01 2018 18:50,10.964,3259.413,2955.115,2140.028,CSV
02 01 2018 19:00,11.298,3367.805,3061.735,2977.898,CSV
02 01 2018 19:10,10.666,3141.293,2679.110,2631.520,CSV
02 01 2018 19:20,10.833,3210.351,2721.081,2830.597,CSV
02 01 2018 19:30,10.578,3102.340,2649.137,2645.827,CSV
02 01 2018 19:40,10.389,3010.962,2707.743,2571.257,CSV
02 01 2018 19:50,10.080,2841.099,2508.832,1658.311,CSV
02 01 2018 20:00,9.839,2687.688,2316.648,2433.444,CSV
02 01 2018 20:10,11.440,3406.637,3081.543,3076.674,CSV
02 01 2018 20:20,11.944,3512.977,3397.639,3352.110,CSV
02 01 2018 20:30,11.859,3498.354,3391.716,3328.279,CSV
02 01 2018 20:40,12.811,3595.136,3587.511,3495.371,CSV
02 01 2018 20:50,12.914,3597.284,3603.112,3511.819,CSV
02 01 2018 21:00,12.728,3592.269,3591.093,3502.385,CSV
02 01 2018 21:10,11.664,3459.657,3221.045,3147.078,CSV
02 01 2018 21:20,11.095,3305.039,2887.734,2784.348,CSV
02 01 2018 21:30,10.161,2888.183,2364.535,2460.423,CSV
02 01 2018 21:40,9.202,2275.211,1935.847,1883.278,CSV
02 01 2018 21:50,8.539,1852.274,1549.481,1123.333,CSV
02 01 2018 22:00,8.809,2021.754,1625.756,1776.225,CSV
02 01 2018 22:10,9.608,2523.609,1994.222,2209.945,CSV
02 01 2018 22:20,9.845,2691.849,2362.000,1632.149,CSV
02 01 2018 22:30,9.339,2364.199,2097.772,2050.107,CSV
02 01 2018 22:40,8.425,1781.900,1564.591,1489.065,CSV
02 01 2018 22:50,7.656,1339.714,1107.475,1277.479,CSV
02 01 2018 23:00,8.145,1613.848,1303.117,1454.192,CSV
02 01 2018 23:10,8.547,1857.140,1561.182,1638.543,CSV
02 01 2018 23:20,8.382,1755.628,1544.999,1461.281,CSV
02 01 2018 23:30,7.850,1445.554,1456.738,1318.759,CSV
02 01 2018 23:40,8.657,1925.374,1795.644,1425.985,CSV
02 01 2018 23:50,10.923,3244.617,2773.291,2829.871,CSV
03 01 2018 00:00,10.405,3019.333,2782.568,2144.575,CSV
03 01 2018 00:10,9.498,2468.761,2446.424,1830.210,CSV
03 01 2018 00:20,11.930,3510.685,3412.392,3331.516,CSV
03 01 2018 00:30,11.076,3298.718,3255.338,2950.805,CSV
03 01 2018 00:40,10.458,3045.467,2796.877,2518.827,CSV
03 01 2018 00:50,9.791,2655.255,2467.954,2209.236,CSV
03 01 2018 01:00,7.626,1323.911,1278.887,1291.835,CSV
03 01 2018 01:10,7.288,1150.914,1042.538,990.639,CSV
03 01 2018 01:20,6.228,703.721,609.076,527.372,CSV
03 01 2018 01:30,4.472,216.017,175.441,131.854,CSV
03 01 2018 01:40,4.128,147.104,112.111,87.940,CSV
03 01 2018 01:50,5.033,344.110,271.917,322.688,CSV
03 01 2018 02:00,6.267,717.844,737.449,630.557,CSV
03 01 2018 02:10,7.763,1397.523,1375.580,1329.363,CSV
03 01 2018 02:20,8.220,1658.119,1520.890,1432.635,CSV
03 01 2018 02:30,7.975,1515.649,1349.112,1240.899,CSV
03 01 2018 02:40,6.794,926.045,889.130,765.198,CSV
03 01 2018 02:50,5.536,479.447,412.116,408.802,CSV
03 01 2018 03:00,5.492,466.620,444.604,415.866,CSV
03 01 2018 03:10,6.077,650.187,655.731,403.139,CSV
03 01 2018 03:20,6.691,882.728,882.565,802.228,CSV
03 01 2018 03:30,6.848,949.012,998.385,490.321,CSV
03 01 2018 03:40,7.759,1395.365,1193.396,1109.630,CSV
03 01 2018 03:50,7.418,1215.660,1122.712,1126.121,CSV
03 01 2018 04:00,7.472,1243.600,1214.126,795.286,CSV
03 01 2018 04:10,7.081,1052.768,1086.307,931.788,CSV
03 01 2018 04:20,7.054,1040.357,1060.603,968.730,CSV
03 01 2018 04:30,7.766,1399.150,1451.714,1382.473,CSV
03 01 2018 04:40,7.833,1435.999,1361.460,1073.647,CSV
03 01 2018 04:50,7.959,1506.777,1490.570,1281.905,CSV
03 01 2018 05:00,7.284,1149.012,1153.139,1078.859,CSV
03 01 2018 05:10,7.001,1016.553,953.976,895.191,CSV
03 01 2018 05:20,6.758,910.728,799.086,737.055,CSV
03 01 2018 05:30,6.180,686.411,616.255,632.252,CSV
03 01 2018 05:40,6.302,730.590,646.925,638.129,CSV
03 01 2018 05:50,7.518,1267.135,1323.682,1033.407,CSV
